BUKRS,VBELN,AWKEY,XBLNR,GJAHR,FKART,FKDAT,BUDAT,WAERS,KURSF,NETWR,MWSBP,GROSS,MWSKZ,KUNNR,STCEG,NAME1
1000,SI1001,DOC1001,SI1001,2026,F2,2026-06-03,2026-06-03,MYR,1.0,5000.00,400.00,5400.00,SST-S,C1,MYB0000001,Buyer 1
1000,BILL2002,DOC1002,,2026,F2,2026-06-04,2026-06-04,MYR,1.0,8125.00,650.00,8775.00,SST-S,C2,MYB0000002,Buyer 2
1000,WEXAR9,,,2026,F2,2026-06-07,2026-06-07,MYR,1.0,12500.00,1000.00,13500.00,SST-S,C3,MYB0000003,Buyer 3
1000,SPLIT40,,,2026,F2,2026-06-08,2026-06-08,MYR,1.0,3750.00,300.00,4050.00,SST-S,C4,MYB0000004,Buyer 4
1000,SPLIT41,,,2026,F2,2026-06-08,2026-06-08,MYR,1.0,5000.00,400.00,5400.00,SST-S,C4,MYB0000004,Buyer 4
1000,SPLIT42,,,2026,F2,2026-06-08,2026-06-08,MYR,1.0,6250.00,500.00,6750.00,SST-S,C4,MYB0000004,Buyer 4
1000,NM6A0,,,2026,F2,2026-06-10,2026-06-10,MYR,1.0,8875.00,710.00,9585.00,SST-S,C6,MYB0000006,Buyer 6
1000,NM6A1,,,2026,F2,2026-06-10,2026-06-10,MYR,1.0,6625.00,530.00,7155.00,SST-S,C6,MYB0000006,Buyer 6
1000,NM6A2,,,2026,F2,2026-06-10,2026-06-10,MYR,1.0,3250.00,260.00,3510.00,SST-S,C6,MYB0000006,Buyer 6
1000,E2AR8,E2A8,,2026,F2,2026-06-05,2026-06-05,MYR,1.0,9000.00,720.00,9720.00,SST-S,C8,MYB0000008,Buyer 8
1000,E2AR9,E2A9,,2026,F2,2026-06-05,2026-06-05,MYR,1.0,4162.50,333.00,4495.50,SST-S,C9,MYB0000009,Buyer 9
1000,WHTAR16,WHT16,,2026,F2,2026-06-11,2026-06-11,MYR,1.0,6250.00,500.00,6750.00,SST-S,C16,MYB0000016,Buyer 16
1000,RNDAR18,RND18,,2026,F2,2026-06-13,2026-06-13,MYR,1.0,4712.50,377.00,5089.50,SST-S,C18,MYB0000018,Buyer 18
1000,MULTIAR19,MULTI19,,2026,F2,2026-06-14,2026-06-14,MYR,1.0,25000.00,2000.00,27000.00,SST-S,C19,MYB0000019,Buyer 19
1000,WTCAR20,WTC20,,2026,F2,2026-06-17,2026-06-17,MYR,1.0,6250.00,500.00,6750.00,SST-S,C20,MYB0000020,Buyer 20
1000,CNAR21,CN21,,2026,G2,2026-06-21,2026-06-21,MYR,1.0,3250.00,260.00,3510.00,SST-S,C21,MYB0000021,Buyer 21
1000,CUTAR22,CUT22,,2026,F2,2026-07-02,2026-07-02,MYR,1.0,5125.00,410.00,5535.00,SST-S,C22,MYB0000022,Buyer 22
1000,FXAR23,FX23,,2026,F2,2026-06-22,2026-06-22,MYR,1.0,8750.00,700.00,9450.00,SST-S,C23,MYB0000023,Buyer 23
1000,CNAR24,,,2026,G2,2026-06-23,2026-06-23,MYR,1.0,2250.00,180.00,2430.00,SST-S,C24,MYB0000024,Buyer 24
1000,PROF25,,,2026,F8,2026-06-25,2026-06-25,MYR,1.0,12487.50,999.00,13486.50,SST-S,C25,MYB0000025,Buyer 25
1000,DUPAR26,DUP26,,2026,F2,2026-06-26,2026-06-26,MYR,1.0,6937.50,555.00,7492.50,SST-S,C26,MYB0000026,Buyer 26
1000,FIL1000,FIL1000,FIL1000,2026,F2,2026-06-02,2026-06-02,MYR,1.0,3750.00,300.00,4050.00,SST-S,K1000,MYF0001000,Filler 1000
1000,FIL1001,FIL1001,FIL1001,2026,F2,2026-06-03,2026-06-03,MYR,1.0,3762.50,301.00,4063.50,SST-S,K1001,MYF0001001,Filler 1001
1000,FIL1002,FIL1002,FIL1002,2026,F2,2026-06-04,2026-06-04,MYR,1.0,3775.00,302.00,4077.00,SST-S,K1002,MYF0001002,Filler 1002
1000,FIL1003,FIL1003,FIL1003,2026,F2,2026-06-05,2026-06-05,MYR,1.0,3787.50,303.00,4090.50,SST-S,K1003,MYF0001003,Filler 1003
1000,FIL1004,FIL1004,FIL1004,2026,F2,2026-06-06,2026-06-06,MYR,1.0,3800.00,304.00,4104.00,SST-S,K1004,MYF0001004,Filler 1004
1000,FIL1005,FIL1005,FIL1005,2026,F2,2026-06-07,2026-06-07,MYR,1.0,3812.50,305.00,4117.50,SST-S,K1005,MYF0001005,Filler 1005
1000,FIL1006,FIL1006,FIL1006,2026,F2,2026-06-08,2026-06-08,MYR,1.0,3825.00,306.00,4131.00,SST-S,K1006,MYF0001006,Filler 1006
1000,FIL1007,FIL1007,FIL1007,2026,F2,2026-06-09,2026-06-09,MYR,1.0,3837.50,307.00,4144.50,SST-S,K1007,MYF0001007,Filler 1007
1000,FIL1008,FIL1008,FIL1008,2026,F2,2026-06-10,2026-06-10,MYR,1.0,3850.00,308.00,4158.00,SST-S,K1008,MYF0001008,Filler 1008
