supplierCompanyCode,irn,invoiceNumber,supplierTin,documentType,issueDate,clearanceDate,status,uuid,currency,taxableAmount,taxAmount,totalAmount,taxScheme,buyerTin,buyerName,isConsolidated
1000,IRN-1001,SI1001,MYSUP0000001,INV,2026-06-03,2026-06-03,CLEARED,uuid-IRN-1001,MYR,5000.00,400.00,5400.00,SST-S,MYB0000001,Buyer 1,false
1000,BILL2002,EINV2002,MYSUP0000001,INV,2026-06-04,2026-06-04,CLEARED,uuid-BILL2002,MYR,8125.00,650.00,8775.00,SST-S,MYB0000002,Buyer 2,false
1000,WEXEI7,WEXEI7,MYSUP0000001,INV,2026-06-06,2026-06-06,CLEARED,uuid-WEXEI7,MYR,12500.00,1000.00,13500.00,SST-S,MYB0000003,Buyer 3,false
1000,SPLITEI4,SPLITEI4,MYSUP0000001,INV,2026-06-08,2026-06-08,CLEARED,uuid-SPLITEI4,MYR,15000.00,1200.00,16200.00,SST-S,MYB0000004,Buyer 4,false
1000,NM6E0,NM6E0,MYSUP0000001,INV,2026-06-10,2026-06-10,CLEARED,uuid-NM6E0,MYR,4625.00,370.00,4995.00,SST-S,MYB0000006,Buyer 6,false
1000,NM6E1,NM6E1,MYSUP0000001,INV,2026-06-10,2026-06-10,CLEARED,uuid-NM6E1,MYR,4750.00,380.00,5130.00,SST-S,MYB0000006,Buyer 6,false
1000,NM6E2,NM6E2,MYSUP0000001,INV,2026-06-10,2026-06-10,CLEARED,uuid-NM6E2,MYR,4875.00,390.00,5265.00,SST-S,MYB0000006,Buyer 6,false
1000,NM6E3,NM6E3,MYSUP0000001,INV,2026-06-10,2026-06-10,CLEARED,uuid-NM6E3,MYR,4500.00,360.00,4860.00,SST-S,MYB0000006,Buyer 6,false
1000,DEG7EI,DEG7EI,MYSUP0000001,INV,2026-06-12,2026-06-12,CLEARED,uuid-DEG7EI,MYR,12500.00,1000.00,13500.00,SST-S,MYB0000007,Buyer 7,false
1000,E2EI9,E2EI9,MYSUP0000001,INV,2026-06-05,2026-06-05,CANCELLED,uuid-E2EI9,MYR,4162.50,333.00,4495.50,SST-S,MYB0000009,Buyer 9,false
1000,E5EI12,E5EI12,MYSUP0000001,INV,2026-06-15,2026-06-15,CLEARED,uuid-E5EI12,MYR,11000.00,880.00,11880.00,SST-S,MYB0000012,Buyer 12,false
1000,E5EI13,E5EI13,MYSUP0000001,INV,2026-06-16,2026-06-16,CLEARED,uuid-E5EI13,MYR,1875.00,150.00,2025.00,SST-S,MYB0000013,Buyer 13,false
1000,E7EI15,E7EI15,MYSUP0000001,INV,2026-06-19,2026-06-19,CLEARED,uuid-E7EI15,MYR,11750.00,940.00,12690.00,SST-S,MYB0000015,Buyer 15,false
1000,WHTEI16,WHTAR16,MYSUP0000001,INV,2026-06-11,2026-06-11,CLEARED,uuid-WHTEI16,MYR,6250.00,500.00,6750.00,SST-S,MYB0000016,Buyer 16,false
