BUKRS,BELNR,GJAHR,BUZEI,HKONT,BLART,BLDAT,BUDAT,WAERS,KURSF,DMBTR_SIGNED,MWSKZ,KUNNR,STCEG,NAME1,PRCTR
1000,DOC1001,2026,1,140000,F2,2026-06-03,2026-06-03,MYR,1.0,5400.00,SST-S,C1,MYB0000001,Buyer 1,PC01
1000,DOC1001,2026,2,400000,F2,2026-06-03,2026-06-03,MYR,1.0,-5000.00,SST-S,C1,MYB0000001,Buyer 1,PC01
1000,DOC1001,2026,3,230000,F2,2026-06-03,2026-06-03,MYR,1.0,-400.00,SST-S,C1,MYB0000001,Buyer 1,PC01
1000,DOC1002,2026,1,140000,F2,2026-06-04,2026-06-04,MYR,1.0,8775.00,SST-S,C2,MYB0000002,Buyer 2,PC01
1000,DOC1002,2026,2,400000,F2,2026-06-04,2026-06-04,MYR,1.0,-8125.00,SST-S,C2,MYB0000002,Buyer 2,PC01
1000,DOC1002,2026,3,230000,F2,2026-06-04,2026-06-04,MYR,1.0,-650.00,SST-S,C2,MYB0000002,Buyer 2,PC01
1000,WEXGL1,2026,1,140000,F2,2026-06-06,2026-06-06,MYR,1.0,6750.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,WEXGL1,2026,2,400000,F2,2026-06-06,2026-06-06,MYR,1.0,-6250.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,WEXGL1,2026,3,230000,F2,2026-06-06,2026-06-06,MYR,1.0,-500.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,WEXGL2,2026,1,140000,F2,2026-06-06,2026-06-06,MYR,1.0,6750.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,WEXGL2,2026,2,400000,F2,2026-06-06,2026-06-06,MYR,1.0,-6250.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,WEXGL2,2026,3,230000,F2,2026-06-06,2026-06-06,MYR,1.0,-500.00,SST-S,C3,MYB0000003,Buyer 3,PC01
1000,DEG700,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG700,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG700,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG701,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG701,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG701,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG702,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG702,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG702,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG703,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG703,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG703,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG704,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG704,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG704,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG705,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG705,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG705,2026,3,230000,F2,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG706,2026,1,140000,F2,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,C7,MYB0000007,Buyer 7,PC01
1000,DEG706,2026,2,400000,F2,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,C7,MYB0000007,Buyer 7,PC01
