scenario_id,scenario_name,expected_cell,expected_bucket,expected_tier,expected_cardinality,gl_docs,ar_docs,einv_docs,expected_ambiguous,expected_min_alternatives
1,clean_1_1_1_T0,E1,ALIGNED,T0,1:1:1,DOC1001,SI1001,SI1001,false,0
2,cross_family_T1,E1,ALIGNED,T1,1:1:1,DOC1002,BILL2002,EINV2002,false,0
3,worked_example_1_1_2,E1,ALIGNED,T4,1:1:2,WEXGL1;WEXGL2,WEXAR9,WEXEI7,false,0
4,one_to_N_split_billing,E5,RECEIVABLE_REPORTED_NO_REVENUE,T4,1:3:0,,SPLIT40;SPLIT41;SPLIT42,SPLITEI4,false,0
6,N_M_balanced_cluster,E5,RECEIVABLE_REPORTED_NO_REVENUE,T5,4:3:0,,NM6A0;NM6A1;NM6A2,NM6E0;NM6E1;NM6E2;NM6E3,false,0
7,degenerate_45_alternatives,E1,ALIGNED,T4,1:0:2,DEG700;DEG701;DEG702;DEG703;DEG704;DEG705;DEG706;DEG707;DEG708;DEG709,,DEG7EI,true,45
8,E2_billed_unreported,E2,BILLED_UNREPORTED,UNMATCHED,0:1:1,E2A8,E2AR8,,false,0
9,E2_cancelled_einvoice,E2,BILLED_UNREPORTED,UNMATCHED,0:1:1,E2A9,E2AR9,,false,0
11,E4_accrual,E4,REVENUE_NO_RECEIVABLE_NO_REPORT,UNMATCHED,0:0:1,E4A11,,,false,0
12,E5_asset_disposal,E5,RECEIVABLE_REPORTED_NO_REVENUE,T2,1:0:1,E5A12,,E5EI12,false,0
13,E5_notice_pay,E5,RECEIVABLE_REPORTED_NO_REVENUE,T2,1:0:1,E5A13,,E5EI13,false,0
14,E6_receipt_clearing,E6,RECEIVABLE_MOVEMENT_ONLY,UNMATCHED,0:0:1,E6A14,,,false,0
15,E7_reported_unbooked,E7,REPORTED_UNBOOKED,UNMATCHED,1:0:0,,,E7EI15,false,0
16,WHT_deduction,E1,ALIGNED,T1,1:1:1,WHT16,WHTAR16,WHTEI16,false,0
18,rounding_line,E1,ALIGNED,T0,1:1:1,RND18,RNDAR18,RND18,false,0
19,multiline_revenue,E1,ALIGNED,T0,1:1:1,MULTI19,MULTIAR19,MULTI19,false,0
20,wrong_tax_code,E1,ALIGNED,T0,1:1:1,WTC20,WTCAR20,WTC20,false,0
21,credit_note_inverted,E1,ALIGNED,T0,1:1:1,CN21,CNAR21,CN21,false,0
22,cut_off_timing,E1,ALIGNED,T0,1:1:1,CUT22,CUTAR22,CUT22,false,0
23,fx_difference,E1,ALIGNED,T0,1:1:1,FX23,FXAR23,FX23,false,0
24,credit_note_broken_ref,E1,ALIGNED,T2,1:1:1,CN24,CNAR24,CN24E,false,0
25,proforma_excluded,QUARANTINE,excluded_doc_class:PROFORMA,NONE,0:0:0,,PROF25,,false,0
26,duplicate_einvoice,E1,ALIGNED,T0,1:1:1,DUP26,DUPAR26,DUPAR26,false,0
