BUKRS,VBELN,AWKEY,XBLNR,GJAHR,FKART,FKDAT,BUDAT,WAERS,KURSF,NETWR,MWSBP,GROSS,MWSKZ,KUNNR,STCEG,NAME1
1100,C3WAR,,,2026,F2,2026-06-07,2026-06-07,MYR,1.0,12500.00,1000.00,13500.00,SST-S,C300,MYB0000300,Buyer 300
1100,C2CB1,C2CB1,C2CB1,2026,F2,2026-06-21,2026-06-21,MYR,1.0,637.50,51.00,688.50,SST-S,CC1,MYC0000001,Cred 1
1100,C2CB2,C2CB2,C2CB2,2026,F2,2026-06-22,2026-06-22,MYR,1.0,650.00,52.00,702.00,SST-S,CC2,MYC0000002,Cred 2
1100,C2CB3,C2CB3,C2CB3,2026,F2,2026-06-23,2026-06-23,MYR,1.0,662.50,53.00,715.50,SST-S,CC3,MYC0000003,Cred 3
1100,C2CB4,C2CB4,C2CB4,2026,F2,2026-06-24,2026-06-24,MYR,1.0,675.00,54.00,729.00,SST-S,CC4,MYC0000004,Cred 4
1100,C2CB5,C2CB5,C2CB5,2026,F2,2026-06-25,2026-06-25,MYR,1.0,687.50,55.00,742.50,SST-S,CC5,MYC0000005,Cred 5
1100,C2CB6,C2CB6,C2CB6,2026,F2,2026-06-26,2026-06-26,MYR,1.0,700.00,56.00,756.00,SST-S,CC6,MYC0000006,Cred 6
1100,C2CB7,C2CB7,C2CB7,2026,F2,2026-06-27,2026-06-27,MYR,1.0,712.50,57.00,769.50,SST-S,CC7,MYC0000007,Cred 7
1100,C2CB8,C2CB8,C2CB8,2026,F2,2026-06-20,2026-06-20,MYR,1.0,725.00,58.00,783.00,SST-S,CC8,MYC0000008,Cred 8
1100,C2CB9,C2CB9,C2CB9,2026,F2,2026-06-21,2026-06-21,MYR,1.0,737.50,59.00,796.50,SST-S,CC9,MYC0000009,Cred 9
1100,C2CB10,C2CB10,C2CB10,2026,F2,2026-06-22,2026-06-22,MYR,1.0,750.00,60.00,810.00,SST-S,CC10,MYC0000010,Cred 10
1100,C2CB11,C2CB11,C2CB11,2026,F2,2026-06-23,2026-06-23,MYR,1.0,762.50,61.00,823.50,SST-S,CC11,MYC0000011,Cred 11
1100,C2CB12,C2CB12,C2CB12,2026,F2,2026-06-24,2026-06-24,MYR,1.0,775.00,62.00,837.00,SST-S,CC12,MYC0000012,Cred 12
1100,C2CB13,C2CB13,C2CB13,2026,F2,2026-06-25,2026-06-25,MYR,1.0,787.50,63.00,850.50,SST-S,CC13,MYC0000013,Cred 13
1100,C2CB14,C2CB14,C2CB14,2026,F2,2026-06-26,2026-06-26,MYR,1.0,800.00,64.00,864.00,SST-S,CC14,MYC0000014,Cred 14
1100,C2CB15,C2CB15,C2CB15,2026,F2,2026-06-27,2026-06-27,MYR,1.0,812.50,65.00,877.50,SST-S,CC15,MYC0000015,Cred 15
1100,C2CB16,C2CB16,C2CB16,2026,F2,2026-06-20,2026-06-20,MYR,1.0,825.00,66.00,891.00,SST-S,CC16,MYC0000016,Cred 16
1100,C2CB17,C2CB17,C2CB17,2026,F2,2026-06-21,2026-06-21,MYR,1.0,837.50,67.00,904.50,SST-S,CC17,MYC0000017,Cred 17
1100,C2CB18,C2CB18,C2CB18,2026,F2,2026-06-22,2026-06-22,MYR,1.0,850.00,68.00,918.00,SST-S,CC18,MYC0000018,Cred 18
1100,C2CB19,C2CB19,C2CB19,2026,F2,2026-06-23,2026-06-23,MYR,1.0,862.50,69.00,931.50,SST-S,CC19,MYC0000019,Cred 19
1100,C2CB20,C2CB20,C2CB20,2026,F2,2026-06-24,2026-06-24,MYR,1.0,875.00,70.00,945.00,SST-S,CC20,MYC0000020,Cred 20
1100,C2CB21,C2CB21,C2CB21,2026,F2,2026-06-25,2026-06-25,MYR,1.0,887.50,71.00,958.50,SST-S,CC21,MYC0000021,Cred 21
1100,C2CB22,C2CB22,C2CB22,2026,F2,2026-06-26,2026-06-26,MYR,1.0,900.00,72.00,972.00,SST-S,CC22,MYC0000022,Cred 22
1100,C2CB23,C2CB23,C2CB23,2026,F2,2026-06-27,2026-06-27,MYR,1.0,912.50,73.00,985.50,SST-S,CC23,MYC0000023,Cred 23
1100,C2CB24,C2CB24,C2CB24,2026,F2,2026-06-20,2026-06-20,MYR,1.0,925.00,74.00,999.00,SST-S,CC24,MYC0000024,Cred 24
1100,C2CB25,C2CB25,C2CB25,2026,F2,2026-06-21,2026-06-21,MYR,1.0,937.50,75.00,1012.50,SST-S,CC25,MYC0000025,Cred 25
1100,C2CB26,C2CB26,C2CB26,2026,F2,2026-06-22,2026-06-22,MYR,1.0,950.00,76.00,1026.00,SST-S,CC26,MYC0000026,Cred 26
1100,C2CB27,C2CB27,C2CB27,2026,F2,2026-06-23,2026-06-23,MYR,1.0,962.50,77.00,1039.50,SST-S,CC27,MYC0000027,Cred 27
1100,C2CB28,C2CB28,C2CB28,2026,F2,2026-06-24,2026-06-24,MYR,1.0,975.00,78.00,1053.00,SST-S,CC28,MYC0000028,Cred 28
1100,C2CB29,C2CB29,C2CB29,2026,F2,2026-06-25,2026-06-25,MYR,1.0,987.50,79.00,1066.50,SST-S,CC29,MYC0000029,Cred 29
1100,C2CB30,C2CB30,C2CB30,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1000.00,80.00,1080.00,SST-S,CC30,MYC0000030,Cred 30
1100,C2CB31,C2CB31,C2CB31,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1012.50,81.00,1093.50,SST-S,CC31,MYC0000031,Cred 31
1100,C2CB32,C2CB32,C2CB32,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1025.00,82.00,1107.00,SST-S,CC32,MYC0000032,Cred 32
1100,C2CB33,C2CB33,C2CB33,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1037.50,83.00,1120.50,SST-S,CC33,MYC0000033,Cred 33
1100,C2CB34,C2CB34,C2CB34,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1050.00,84.00,1134.00,SST-S,CC34,MYC0000034,Cred 34
1100,C2CB35,C2CB35,C2CB35,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1062.50,85.00,1147.50,SST-S,CC35,MYC0000035,Cred 35
1100,C2CB36,C2CB36,C2CB36,2026,F2,2026-06-24,2026-06-24,MYR,1.0,1075.00,86.00,1161.00,SST-S,CC36,MYC0000036,Cred 36
1100,C2CB37,C2CB37,C2CB37,2026,F2,2026-06-25,2026-06-25,MYR,1.0,1087.50,87.00,1174.50,SST-S,CC37,MYC0000037,Cred 37
1100,C2CB38,C2CB38,C2CB38,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1100.00,88.00,1188.00,SST-S,CC38,MYC0000038,Cred 38
1100,C2CB39,C2CB39,C2CB39,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1112.50,89.00,1201.50,SST-S,CC39,MYC0000039,Cred 39
1100,C2CB40,C2CB40,C2CB40,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1125.00,90.00,1215.00,SST-S,CC40,MYC0000040,Cred 40
1100,C2CB41,C2CB41,C2CB41,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1137.50,91.00,1228.50,SST-S,CC41,MYC0000041,Cred 41
1100,C2CB42,C2CB42,C2CB42,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1150.00,92.00,1242.00,SST-S,CC42,MYC0000042,Cred 42
1100,C2CB43,C2CB43,C2CB43,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1162.50,93.00,1255.50,SST-S,CC43,MYC0000043,Cred 43
1100,C2CB44,C2CB44,C2CB44,2026,F2,2026-06-24,2026-06-24,MYR,1.0,1175.00,94.00,1269.00,SST-S,CC44,MYC0000044,Cred 44
1100,C2CB45,C2CB45,C2CB45,2026,F2,2026-06-25,2026-06-25,MYR,1.0,1187.50,95.00,1282.50,SST-S,CC45,MYC0000045,Cred 45
1100,C2CB46,C2CB46,C2CB46,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1200.00,96.00,1296.00,SST-S,CC46,MYC0000046,Cred 46
1100,C2CB47,C2CB47,C2CB47,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1212.50,97.00,1309.50,SST-S,CC47,MYC0000047,Cred 47
1100,C2CB48,C2CB48,C2CB48,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1225.00,98.00,1323.00,SST-S,CC48,MYC0000048,Cred 48
1100,C2CB49,C2CB49,C2CB49,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1237.50,99.00,1336.50,SST-S,CC49,MYC0000049,Cred 49
1100,C2CB50,C2CB50,C2CB50,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1250.00,100.00,1350.00,SST-S,CC50,MYC0000050,Cred 50
1100,C2CB51,C2CB51,C2CB51,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1262.50,101.00,1363.50,SST-S,CC51,MYC0000051,Cred 51
1100,C2CB52,C2CB52,C2CB52,2026,F2,2026-06-24,2026-06-24,MYR,1.0,1275.00,102.00,1377.00,SST-S,CC52,MYC0000052,Cred 52
1100,C2CB53,C2CB53,C2CB53,2026,F2,2026-06-25,2026-06-25,MYR,1.0,1287.50,103.00,1390.50,SST-S,CC53,MYC0000053,Cred 53
1100,C2CB54,C2CB54,C2CB54,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1300.00,104.00,1404.00,SST-S,CC54,MYC0000054,Cred 54
1100,C2CB55,C2CB55,C2CB55,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1312.50,105.00,1417.50,SST-S,CC55,MYC0000055,Cred 55
1100,C2CB56,C2CB56,C2CB56,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1325.00,106.00,1431.00,SST-S,CC56,MYC0000056,Cred 56
1100,C2CB57,C2CB57,C2CB57,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1337.50,107.00,1444.50,SST-S,CC57,MYC0000057,Cred 57
1100,C2CB58,C2CB58,C2CB58,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1350.00,108.00,1458.00,SST-S,CC58,MYC0000058,Cred 58
1100,C2CB59,C2CB59,C2CB59,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1362.50,109.00,1471.50,SST-S,CC59,MYC0000059,Cred 59
1100,C2CB60,C2CB60,C2CB60,2026,F2,2026-06-24,2026-06-24,MYR,1.0,1375.00,110.00,1485.00,SST-S,CC60,MYC0000060,Cred 60
1100,C2CB61,C2CB61,C2CB61,2026,F2,2026-06-25,2026-06-25,MYR,1.0,1387.50,111.00,1498.50,SST-S,CC61,MYC0000061,Cred 61
1100,C2CB62,C2CB62,C2CB62,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1400.00,112.00,1512.00,SST-S,CC62,MYC0000062,Cred 62
1100,C2CB63,C2CB63,C2CB63,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1412.50,113.00,1525.50,SST-S,CC63,MYC0000063,Cred 63
1100,C2CB64,C2CB64,C2CB64,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1425.00,114.00,1539.00,SST-S,CC64,MYC0000064,Cred 64
1100,C2CB65,C2CB65,C2CB65,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1437.50,115.00,1552.50,SST-S,CC65,MYC0000065,Cred 65
1100,C2CB66,C2CB66,C2CB66,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1450.00,116.00,1566.00,SST-S,CC66,MYC0000066,Cred 66
1100,C2CB67,C2CB67,C2CB67,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1462.50,117.00,1579.50,SST-S,CC67,MYC0000067,Cred 67
1100,C2CB68,C2CB68,C2CB68,2026,F2,2026-06-24,2026-06-24,MYR,1.0,1475.00,118.00,1593.00,SST-S,CC68,MYC0000068,Cred 68
1100,C2CB69,C2CB69,C2CB69,2026,F2,2026-06-25,2026-06-25,MYR,1.0,1487.50,119.00,1606.50,SST-S,CC69,MYC0000069,Cred 69
1100,C2CB70,C2CB70,C2CB70,2026,F2,2026-06-26,2026-06-26,MYR,1.0,1500.00,120.00,1620.00,SST-S,CC70,MYC0000070,Cred 70
1100,C2CB71,C2CB71,C2CB71,2026,F2,2026-06-27,2026-06-27,MYR,1.0,1512.50,121.00,1633.50,SST-S,CC71,MYC0000071,Cred 71
1100,C2CB72,C2CB72,C2CB72,2026,F2,2026-06-20,2026-06-20,MYR,1.0,1525.00,122.00,1647.00,SST-S,CC72,MYC0000072,Cred 72
1100,C2CB73,C2CB73,C2CB73,2026,F2,2026-06-21,2026-06-21,MYR,1.0,1537.50,123.00,1660.50,SST-S,CC73,MYC0000073,Cred 73
1100,C2CB74,C2CB74,C2CB74,2026,F2,2026-06-22,2026-06-22,MYR,1.0,1550.00,124.00,1674.00,SST-S,CC74,MYC0000074,Cred 74
1100,C2CB75,C2CB75,C2CB75,2026,F2,2026-06-23,2026-06-23,MYR,1.0,1562.50,125.00,1687.50,SST-S,CC75,MYC0000075,Cred 75
