supplierCompanyCode,irn,invoiceNumber,supplierTin,documentType,issueDate,clearanceDate,status,uuid,currency,taxableAmount,taxAmount,totalAmount,taxScheme,buyerTin,buyerName,isConsolidated
1100,C5E00,C5E00,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E00,MYR,625.00,50.00,675.00,SST-S,,,false
1100,C5E01,C5E01,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E01,MYR,750.00,60.00,810.00,SST-S,,,false
1100,C5E02,C5E02,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E02,MYR,875.00,70.00,945.00,SST-S,,,false
1100,C5E03,C5E03,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E03,MYR,1000.00,80.00,1080.00,SST-S,,,false
1100,C5E04,C5E04,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E04,MYR,1125.00,90.00,1215.00,SST-S,,,false
1100,C5E05,C5E05,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E05,MYR,1250.00,100.00,1350.00,SST-S,,,false
1100,C5E06,C5E06,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E06,MYR,1375.00,110.00,1485.00,SST-S,,,false
1100,C5E07,C5E07,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E07,MYR,1500.00,120.00,1620.00,SST-S,,,false
1100,C5E08,C5E08,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E08,MYR,1625.00,130.00,1755.00,SST-S,,,false
1100,C5E09,C5E09,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E09,MYR,1750.00,140.00,1890.00,SST-S,,,false
1100,C5E10,C5E10,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E10,MYR,1875.00,150.00,2025.00,SST-S,,,false
1100,C5E11,C5E11,MYSUP0000001,INV,2026-06-02,2026-06-02,CLEARED,uuid-C5E11,MYR,2000.00,160.00,2160.00,SST-S,,,false
1100,C10E,C10E,MYSUP0000001,INV,2026-06-03,2026-06-03,CLEARED,uuid-C10E,MYR,1500.00,120.00,1620.00,SST-S,,,false
1100,C17E,C17E,MYSUP0000001,INV,2026-06-04,2026-06-04,CLEARED,uuid-C17E,MYR,3750.00,300.00,4050.00,SST-S,,,false
1100,C3WEI,C3WEI,MYSUP0000001,INV,2026-06-06,2026-06-06,CLEARED,uuid-C3WEI,MYR,12500.00,1000.00,13500.00,SST-S,MYB0000300,Buyer 300,false
1100,C7DEGE,C7DEGE,MYSUP0000001,INV,2026-06-12,2026-06-12,CLEARED,uuid-C7DEGE,MYR,12500.00,1000.00,13500.00,SST-S,,,false
1100,C2CF1,C2CF1,MYSUP0000001,INV,2026-06-21,2026-06-21,CLEARED,uuid-C2CF1,MYR,387.50,31.00,418.50,SST-S,,,false
1100,C2CF2,C2CF2,MYSUP0000001,INV,2026-06-22,2026-06-22,CLEARED,uuid-C2CF2,MYR,400.00,32.00,432.00,SST-S,,,false
