BUKRS,BELNR,GJAHR,BUZEI,HKONT,BLART,BLDAT,BUDAT,WAERS,KURSF,DMBTR_SIGNED,MWSKZ,KUNNR,STCEG,NAME1,PRCTR
1100,C5GL,2026,1,110000,BV,2026-06-02,2026-06-02,MYR,1.0,17010.00,SST-S,,,,STORE01
1100,C5GL,2026,2,400000,BV,2026-06-02,2026-06-02,MYR,1.0,-15750.00,SST-S,,,,STORE01
1100,C5GL,2026,3,230000,BV,2026-06-02,2026-06-02,MYR,1.0,-1260.00,SST-S,,,,STORE01
1100,C10GL,2026,1,110000,BV,2026-06-03,2026-06-03,MYR,1.0,1620.00,SST-S,,,,STORE02
1100,C10GL,2026,2,400000,BV,2026-06-03,2026-06-03,MYR,1.0,-1500.00,SST-S,,,,STORE02
1100,C10GL,2026,3,230000,BV,2026-06-03,2026-06-03,MYR,1.0,-120.00,SST-S,,,,STORE02
1100,C17GL,2026,1,110000,BV,2026-06-04,2026-06-04,MYR,1.0,4090.50,SST-S,,,,STORE01
1100,C17GL,2026,2,400000,BV,2026-06-04,2026-06-04,MYR,1.0,-3750.00,SST-S,,,,STORE01
1100,C17GL,2026,3,230000,BV,2026-06-04,2026-06-04,MYR,1.0,-300.00,SST-S,,,,STORE01
1100,C17GL,2026,4,880000,BV,2026-06-04,2026-06-04,MYR,1.0,-40.50,SST-S,,,,STORE01
1100,C3WGL1,2026,1,140000,F2,2026-06-06,2026-06-06,MYR,1.0,6750.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C3WGL1,2026,2,400000,F2,2026-06-06,2026-06-06,MYR,1.0,-6250.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C3WGL1,2026,3,230000,F2,2026-06-06,2026-06-06,MYR,1.0,-500.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C3WGL2,2026,1,140000,F2,2026-06-06,2026-06-06,MYR,1.0,6750.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C3WGL2,2026,2,400000,F2,2026-06-06,2026-06-06,MYR,1.0,-6250.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C3WGL2,2026,3,230000,F2,2026-06-06,2026-06-06,MYR,1.0,-500.00,SST-S,C300,MYB0000300,Buyer 300,PC01
1100,C7DEG00,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG00,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG00,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG01,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG01,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG01,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG02,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG02,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG02,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG03,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG03,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG03,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG04,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG04,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG04,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG05,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG05,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG05,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG06,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG06,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG06,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG07,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG07,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG07,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG08,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG08,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG08,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C7DEG09,2026,1,110000,BV,2026-06-12,2026-06-12,MYR,1.0,6750.00,SST-S,,,,STORE07
1100,C7DEG09,2026,2,400000,BV,2026-06-12,2026-06-12,MYR,1.0,-6250.00,SST-S,,,,STORE07
1100,C7DEG09,2026,3,230000,BV,2026-06-12,2026-06-12,MYR,1.0,-500.00,SST-S,,,,STORE07
1100,C14GL,2026,1,110000,DZ,2026-06-18,2026-06-18,MYR,1.0,8000.00,SST-S,C214,MYB0000214,Buyer 214,PC01
1100,C14GL,2026,2,140000,DZ,2026-06-18,2026-06-18,MYR,1.0,-8000.00,SST-S,C214,MYB0000214,Buyer 214,PC01
1100,C2CF1,2026,1,110000,BV,2026-06-21,2026-06-21,MYR,1.0,418.50,SST-S,,,,STORE01
1100,C2CF1,2026,2,400000,BV,2026-06-21,2026-06-21,MYR,1.0,-387.50,SST-S,,,,STORE01
1100,C2CF1,2026,3,230000,BV,2026-06-21,2026-06-21,MYR,1.0,-31.00,SST-S,,,,STORE01
