scenario_id,scenario_name,expected_cell,expected_bucket,expected_tier,expected_cardinality,gl_docs,ar_docs,einv_docs,expected_ambiguous,expected_min_alternatives
5,N_to_1_consolidated,E3,NON_CUSTOMER_SETTLED_SALE,T4,12:0:1,C5GL,,C5E00;C5E01;C5E02;C5E03;C5E04;C5E05;C5E06;C5E07;C5E08;C5E09;C5E10;C5E11,false,0
10,E3_cash_sale,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C10GL,,C10E,false,0
17,TCS_on_top,E3,NON_CUSTOMER_SETTLED_SALE,T3,1:0:1,C17GL,,C17E,false,0
3,worked_example_1_1_2,E1,ALIGNED,T4,1:1:2,C3WGL1;C3WGL2,C3WAR,C3WEI,false,0
7,degenerate_45_alternatives,E3,NON_CUSTOMER_SETTLED_SALE,T4,1:0:2,C7DEG00;C7DEG01;C7DEG02;C7DEG03;C7DEG04;C7DEG05;C7DEG06;C7DEG07;C7DEG08;C7DEG09,,C7DEGE,true,45
14,E6_receipt_clearing,E6,RECEIVABLE_MOVEMENT_ONLY,UNMATCHED,0:0:1,C14GL,,,false,0
2001,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF1,,C2CF1,false,0
2002,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF2,,C2CF2,false,0
2003,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF3,,C2CF3,false,0
2004,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF4,,C2CF4,false,0
2005,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF5,,C2CF5,false,0
2006,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF6,,C2CF6,false,0
2007,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF7,,C2CF7,false,0
2008,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF8,,C2CF8,false,0
2009,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF9,,C2CF9,false,0
