entity_id,billing_doc_id,accounting_doc_id,official_doc_id,fiscal_year,doc_type,doc_date,posting_date,currency,fx_rate,net_amount,tax_amount,gross_amount,tax_code,customer_id,customer_tin,customer_name
K1,INV-KSA-500003,INV-KSA-500003,INV-KSA-500003,2026,Invoice,2026-06-30,2026-07-04,SAR,1.0,32278.850,4841.830,37120.680,S15,372855605724783,372855605724783,Oasis Wholesale
K2,INV-KSA-500005,INV-KSA-500005,INV-KSA-500005,2026,Invoice,2026-06-23,2026-06-26,SAR,1.0,30824.250,4623.640,35447.890,S15,348536965419443,348536965419443,Gulf Mega Stores
K1,INV-KSA-500008,INV-KSA-500008,INV-KSA-500008,2026,Invoice,2026-06-24,2026-06-26,SAR,1.0,27353.680,4103.050,31456.730,S15,342657442645003,342657442645003,Horizon FMCG
K1,INV-KSA-500012,INV-KSA-500012,INV-KSA-500012,2026,Invoice,2026-07-01,2026-07-05,SAR,1.0,6305.250,945.790,7251.040,S15,374109018373643,374109018373643,Gulf Mega Stores
K2,INV-KSA-500015,INV-KSA-500015,INV-KSA-500015,2026,Invoice,2026-07-10,2026-07-13,SAR,1.0,34300.860,5145.130,39445.990,S15,326172878585903,326172878585903,Gulf Mega Stores
K2,INV-KSA-500016,INV-KSA-500016,INV-KSA-500016,2026,Invoice,2026-07-14,2026-07-16,SAR,1.0,31564.520,4734.680,36299.200,S15,375638721749563,375638721749563,Falcon Trading Est.
K1,INV-KSA-500020,INV-KSA-500020,INV-KSA-500020,2026,Invoice,2026-06-17,2026-06-18,SAR,1.0,20254.710,3038.210,23292.920,S15,392473249540593,392473249540593,Al Noor Distribution
K1,INV-KSA-500023,INV-KSA-500023,INV-KSA-500023,2026,Invoice,2026-07-10,2026-07-11,SAR,1.0,28294.990,4244.250,32539.240,S15,351286467470983,351286467470983,Marina Enterprises
K2,INV-KSA-500027,INV-KSA-500027,INV-KSA-500027,2026,Invoice,2026-06-24,2026-06-24,SAR,1.0,23947.530,3592.130,27539.660,S15,352398736933623,352398736933623,Delta Foods
K1,INV-KSA-500028,INV-KSA-500028,INV-KSA-500028,2026,Invoice,2026-07-05,2026-07-07,SAR,1.0,11296.470,1694.470,12990.940,S15,362823192691393,362823192691393,Cedar Supplies Co.
