entity_id,accounting_doc_id,fiscal_year,line_no,gl_account,doc_type,doc_date,posting_date,currency,fx_rate,amount_signed,tax_code,customer_id,customer_tin,customer_name
K1,INV-KSA-500003,2026,1,140000,Invoice,2026-06-30,2026-07-04,SAR,1.0,37120.680,S15,372855605724783,372855605724783,Oasis Wholesale
K1,INV-KSA-500003,2026,2,410000,Invoice,2026-06-30,2026-07-04,SAR,1.0,-32278.850,S15,372855605724783,372855605724783,Oasis Wholesale
K1,INV-KSA-500003,2026,3,230000,Invoice,2026-06-30,2026-07-04,SAR,1.0,-4841.830,S15,372855605724783,372855605724783,Oasis Wholesale
K2,INV-KSA-500005,2026,1,140000,Invoice,2026-06-23,2026-06-26,SAR,1.0,35447.890,S15,348536965419443,348536965419443,Gulf Mega Stores
K2,INV-KSA-500005,2026,2,410000,Invoice,2026-06-23,2026-06-26,SAR,1.0,-30824.250,S15,348536965419443,348536965419443,Gulf Mega Stores
K2,INV-KSA-500005,2026,3,230000,Invoice,2026-06-23,2026-06-26,SAR,1.0,-4623.640,S15,348536965419443,348536965419443,Gulf Mega Stores
K1,INV-KSA-500008,2026,1,140000,Invoice,2026-06-24,2026-06-26,SAR,1.0,31456.730,S15,342657442645003,342657442645003,Horizon FMCG
K1,INV-KSA-500008,2026,2,410000,Invoice,2026-06-24,2026-06-26,SAR,1.0,-27353.680,S15,342657442645003,342657442645003,Horizon FMCG
K1,INV-KSA-500008,2026,3,230000,Invoice,2026-06-24,2026-06-26,SAR,1.0,-4103.050,S15,342657442645003,342657442645003,Horizon FMCG
K1,INV-KSA-500012,2026,1,140000,Invoice,2026-07-01,2026-07-05,SAR,1.0,7251.040,S15,374109018373643,374109018373643,Gulf Mega Stores
K1,INV-KSA-500012,2026,2,410000,Invoice,2026-07-01,2026-07-05,SAR,1.0,-6305.250,S15,374109018373643,374109018373643,Gulf Mega Stores
K1,INV-KSA-500012,2026,3,230000,Invoice,2026-07-01,2026-07-05,SAR,1.0,-945.790,S15,374109018373643,374109018373643,Gulf Mega Stores
K2,INV-KSA-500015,2026,1,140000,Invoice,2026-07-10,2026-07-13,SAR,1.0,39445.990,S15,326172878585903,326172878585903,Gulf Mega Stores
K2,INV-KSA-500015,2026,2,410000,Invoice,2026-07-10,2026-07-13,SAR,1.0,-34300.860,S15,326172878585903,326172878585903,Gulf Mega Stores
K2,INV-KSA-500015,2026,3,230000,Invoice,2026-07-10,2026-07-13,SAR,1.0,-5145.130,S15,326172878585903,326172878585903,Gulf Mega Stores
K2,INV-KSA-500016,2026,1,140000,Invoice,2026-07-14,2026-07-16,SAR,1.0,36299.200,S15,375638721749563,375638721749563,Falcon Trading Est.
K2,INV-KSA-500016,2026,2,410000,Invoice,2026-07-14,2026-07-16,SAR,1.0,-31564.520,S15,375638721749563,375638721749563,Falcon Trading Est.
K2,INV-KSA-500016,2026,3,230000,Invoice,2026-07-14,2026-07-16,SAR,1.0,-4734.680,S15,375638721749563,375638721749563,Falcon Trading Est.
K1,INV-KSA-500020,2026,1,140000,Invoice,2026-06-17,2026-06-18,SAR,1.0,23292.920,S15,392473249540593,392473249540593,Al Noor Distribution
K1,INV-KSA-500020,2026,2,410000,Invoice,2026-06-17,2026-06-18,SAR,1.0,-20254.710,S15,392473249540593,392473249540593,Al Noor Distribution
K1,INV-KSA-500020,2026,3,230000,Invoice,2026-06-17,2026-06-18,SAR,1.0,-3038.210,S15,392473249540593,392473249540593,Al Noor Distribution
