entity_id,billing_doc_id,accounting_doc_id,official_doc_id,fiscal_year,doc_type,doc_date,posting_date,currency,fx_rate,net_amount,tax_amount,gross_amount,tax_code,customer_id,customer_tin,customer_name
O1,INV-OMN-500001,INV-OMN-500001,INV-OMN-500001,2026,Invoice,2026-07-06,2026-07-07,OMR,1.0,14484.626,724.231,15208.857,S5,OM8782584675,OM8782584675,Marina Enterprises
O1,INV-OMN-500005,INV-OMN-500005,INV-OMN-500005,2026,Invoice,2026-06-22,2026-06-26,OMR,1.0,26027.014,1301.351,27328.365,S5,OM1462632972,OM1462632972,Al Noor Distribution
O2,INV-OMN-500009,INV-OMN-500009,INV-OMN-500009,2026,Invoice,2026-07-04,2026-07-07,OMR,1.0,31256.254,1562.813,32819.067,S5,OM8079088146,OM8079088146,Horizon FMCG
O1,INV-OMN-500010,INV-OMN-500010,INV-OMN-500010,2026,Invoice,2026-06-19,2026-06-20,OMR,1.0,28356.216,1417.811,29774.027,S5,OM0835221929,OM0835221929,Al Noor Distribution
O2,INV-OMN-500014,INV-OMN-500014,INV-OMN-500014,2026,Invoice,2026-06-25,2026-06-29,OMR,1.0,31498.869,1574.943,33073.812,S5,OM4896429913,OM4896429913,Marina Enterprises
O2,INV-OMN-500017,INV-OMN-500017,INV-OMN-500017,2026,Invoice,2026-06-25,2026-06-28,OMR,1.0,24721.639,1236.082,25957.721,S5,OM3647933698,OM3647933698,Al Noor Distribution
O2,INV-OMN-500020,INV-OMN-500020,INV-OMN-500020,2026,Invoice,2026-07-10,2026-07-11,OMR,1.0,18749.181,937.459,19686.640,S5,OM4009644653,OM4009644653,Marina Enterprises
O1,INV-OMN-500024,INV-OMN-500024,INV-OMN-500024,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,23790.906,1189.545,24980.451,S5,OM8763689044,OM8763689044,Oasis Wholesale
O1,INV-OMN-500027,INV-OMN-500027,INV-OMN-500027,2026,Invoice,2026-07-10,2026-07-10,OMR,1.0,31651.401,1582.570,33233.971,S5,OM1728366707,OM1728366707,Cedar Supplies Co.
O2,INV-OMN-500031,INV-OMN-500031,INV-OMN-500031,2026,Invoice,2026-07-13,2026-07-14,OMR,1.0,29444.887,1472.244,30917.131,S5,OM1427122296,OM1427122296,Falcon Trading Est.
O2,INV-OMN-500034,INV-OMN-500034,INV-OMN-500034,2026,Invoice,2026-06-17,2026-06-18,OMR,1.0,33421.307,1671.065,35092.372,S5,OM4893828221,OM4893828221,Al Noor Distribution
O1,INV-OMN-500037,INV-OMN-500037,INV-OMN-500037,2026,Invoice,2026-07-14,2026-07-17,OMR,1.0,25369.933,1268.497,26638.430,S5,OM4341350830,OM4341350830,Delta Foods
O1,INV-OMN-500039,INV-OMN-500039,INV-OMN-500039,2026,Invoice,2026-07-15,2026-07-16,OMR,1.0,5717.275,285.864,6003.139,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,INV-OMN-500039,INV-OMN-500039,2026,Invoice,2026-07-15,2026-07-16,OMR,1.0,6586.428,0.000,6586.428,Z0,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,INV-OMN-500039,INV-OMN-500039,2026,Invoice,2026-07-15,2026-07-16,OMR,1.0,7843.561,392.178,8235.739,S5,OM5994230039,OM5994230039,Horizon FMCG
O2,INV-OMN-500043,INV-OMN-500043,INV-OMN-500043,2026,Invoice,2026-06-23,2026-06-24,OMR,1.0,10745.112,537.256,11282.368,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,INV-OMN-500043,INV-OMN-500043,2026,Invoice,2026-06-23,2026-06-24,OMR,1.0,3027.658,0.000,3027.658,Z0,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,INV-OMN-500043,INV-OMN-500043,2026,Invoice,2026-06-23,2026-06-24,OMR,1.0,4239.809,211.990,4451.799,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O1,INV-OMN-500047,INV-OMN-500047,INV-OMN-500047,2026,Invoice,2026-06-16,2026-06-18,OMR,1.0,10679.795,533.990,11213.785,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,INV-OMN-500047,INV-OMN-500047,2026,Invoice,2026-06-16,2026-06-18,OMR,1.0,3267.705,0.000,3267.705,Z0,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,INV-OMN-500047,INV-OMN-500047,2026,Invoice,2026-06-16,2026-06-18,OMR,1.0,4851.696,242.585,5094.281,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500050,INV-OMN-500050,INV-OMN-500050,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,17885.925,894.296,18780.221,S5,OM7561549893,OM7561549893,Gulf Mega Stores
O1,INV-OMN-500050,INV-OMN-500050,INV-OMN-500050,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,4789.042,0.000,4789.042,Z0,OM7561549893,OM7561549893,Gulf Mega Stores
O1,INV-OMN-500050,INV-OMN-500050,INV-OMN-500050,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,10186.636,509.332,10695.968,S5,OM7561549893,OM7561549893,Gulf Mega Stores
O1,INV-OMN-500054,INV-OMN-500054,INV-OMN-500054,2026,Invoice,2026-06-17,2026-06-21,OMR,1.0,14463.430,723.172,15186.602,S5,OM8500498984,OM8500498984,Marina Enterprises
O1,INV-OMN-500054,INV-OMN-500054,INV-OMN-500054,2026,Invoice,2026-06-17,2026-06-21,OMR,1.0,6422.075,0.000,6422.075,Z0,OM8500498984,OM8500498984,Marina Enterprises
O1,INV-OMN-500054,INV-OMN-500054,INV-OMN-500054,2026,Invoice,2026-06-17,2026-06-21,OMR,1.0,14710.687,735.534,15446.221,S5,OM8500498984,OM8500498984,Marina Enterprises
O2,INV-OMN-500055,INV-OMN-500055,INV-OMN-500055,2026,Invoice,2026-07-15,2026-07-15,OMR,1.0,19145.326,957.266,20102.592,S5,OM2936185120,OM2936185120,Oasis Wholesale
O2,INV-OMN-500055,INV-OMN-500055,INV-OMN-500055,2026,Invoice,2026-07-15,2026-07-15,OMR,1.0,4772.946,0.000,4772.946,Z0,OM2936185120,OM2936185120,Oasis Wholesale
O2,INV-OMN-500055,INV-OMN-500055,INV-OMN-500055,2026,Invoice,2026-07-15,2026-07-15,OMR,1.0,7985.280,399.264,8384.544,S5,OM2936185120,OM2936185120,Oasis Wholesale
O1,INV-OMN-500059,INV-OMN-500059,INV-OMN-500059,2026,Invoice,2026-07-10,2026-07-14,OMR,1.0,10322.236,516.112,10838.348,S5,OM1885895200,OM1885895200,Pearl Retail Group
O1,INV-OMN-500059,INV-OMN-500059,INV-OMN-500059,2026,Invoice,2026-07-10,2026-07-14,OMR,1.0,4669.587,0.000,4669.587,Z0,OM1885895200,OM1885895200,Pearl Retail Group
O1,INV-OMN-500059,INV-OMN-500059,INV-OMN-500059,2026,Invoice,2026-07-10,2026-07-14,OMR,1.0,6705.131,335.257,7040.388,S5,OM1885895200,OM1885895200,Pearl Retail Group
O1,INV-OMN-500061,INV-OMN-500061,INV-OMN-500061,2026,Invoice,2026-07-15,2026-07-17,OMR,1.0,13528.042,676.402,14204.444,S5,OM0849417140,OM0849417140,Marina Enterprises
O1,INV-OMN-500061,INV-OMN-500061,INV-OMN-500061,2026,Invoice,2026-07-15,2026-07-17,OMR,1.0,8126.912,0.000,8126.912,Z0,OM0849417140,OM0849417140,Marina Enterprises
O1,INV-OMN-500061,INV-OMN-500061,INV-OMN-500061,2026,Invoice,2026-07-15,2026-07-17,OMR,1.0,13230.066,661.503,13891.569,S5,OM0849417140,OM0849417140,Marina Enterprises
