entity_id,accounting_doc_id,fiscal_year,line_no,gl_account,doc_type,doc_date,posting_date,currency,fx_rate,amount_signed,tax_code,customer_id,customer_tin,customer_name
O1,INV-OMN-500001,2026,1,140000,Invoice,2026-07-06,2026-07-07,OMR,1.0,15208.857,S5,OM8782584675,OM8782584675,Marina Enterprises
O1,INV-OMN-500001,2026,2,410000,Invoice,2026-07-06,2026-07-07,OMR,1.0,-14484.626,S5,OM8782584675,OM8782584675,Marina Enterprises
O1,INV-OMN-500001,2026,3,230000,Invoice,2026-07-06,2026-07-07,OMR,1.0,-724.231,S5,OM8782584675,OM8782584675,Marina Enterprises
O1,INV-OMN-500005,2026,1,140000,Invoice,2026-06-22,2026-06-26,OMR,1.0,27328.365,S5,OM1462632972,OM1462632972,Al Noor Distribution
O1,INV-OMN-500005,2026,2,410000,Invoice,2026-06-22,2026-06-26,OMR,1.0,-26027.014,S5,OM1462632972,OM1462632972,Al Noor Distribution
O1,INV-OMN-500005,2026,3,230000,Invoice,2026-06-22,2026-06-26,OMR,1.0,-1301.351,S5,OM1462632972,OM1462632972,Al Noor Distribution
O2,INV-OMN-500009,2026,1,140000,Invoice,2026-07-04,2026-07-07,OMR,1.0,32819.067,S5,OM8079088146,OM8079088146,Horizon FMCG
O2,INV-OMN-500009,2026,2,410000,Invoice,2026-07-04,2026-07-07,OMR,1.0,-31256.254,S5,OM8079088146,OM8079088146,Horizon FMCG
O2,INV-OMN-500009,2026,3,230000,Invoice,2026-07-04,2026-07-07,OMR,1.0,-1562.813,S5,OM8079088146,OM8079088146,Horizon FMCG
O1,INV-OMN-500010,2026,1,140000,Invoice,2026-06-19,2026-06-20,OMR,1.0,29774.027,S5,OM0835221929,OM0835221929,Al Noor Distribution
O1,INV-OMN-500010,2026,2,410000,Invoice,2026-06-19,2026-06-20,OMR,1.0,-28356.216,S5,OM0835221929,OM0835221929,Al Noor Distribution
O1,INV-OMN-500010,2026,3,230000,Invoice,2026-06-19,2026-06-20,OMR,1.0,-1417.811,S5,OM0835221929,OM0835221929,Al Noor Distribution
O2,INV-OMN-500014,2026,1,140000,Invoice,2026-06-25,2026-06-29,OMR,1.0,33073.812,S5,OM4896429913,OM4896429913,Marina Enterprises
O2,INV-OMN-500014,2026,2,410000,Invoice,2026-06-25,2026-06-29,OMR,1.0,-31498.869,S5,OM4896429913,OM4896429913,Marina Enterprises
O2,INV-OMN-500014,2026,3,230000,Invoice,2026-06-25,2026-06-29,OMR,1.0,-1574.943,S5,OM4896429913,OM4896429913,Marina Enterprises
O2,INV-OMN-500017,2026,1,140000,Invoice,2026-06-25,2026-06-28,OMR,1.0,25957.721,S5,OM3647933698,OM3647933698,Al Noor Distribution
O2,INV-OMN-500017,2026,2,410000,Invoice,2026-06-25,2026-06-28,OMR,1.0,-24721.639,S5,OM3647933698,OM3647933698,Al Noor Distribution
O2,INV-OMN-500017,2026,3,230000,Invoice,2026-06-25,2026-06-28,OMR,1.0,-1236.082,S5,OM3647933698,OM3647933698,Al Noor Distribution
O2,INV-OMN-500020,2026,1,140000,Invoice,2026-07-10,2026-07-11,OMR,1.0,19686.640,S5,OM4009644653,OM4009644653,Marina Enterprises
O2,INV-OMN-500020,2026,2,410000,Invoice,2026-07-10,2026-07-11,OMR,1.0,-18749.181,S5,OM4009644653,OM4009644653,Marina Enterprises
O2,INV-OMN-500020,2026,3,230000,Invoice,2026-07-10,2026-07-11,OMR,1.0,-937.459,S5,OM4009644653,OM4009644653,Marina Enterprises
O1,INV-OMN-500024,2026,1,140000,Invoice,2026-06-24,2026-06-27,OMR,1.0,24980.451,S5,OM8763689044,OM8763689044,Oasis Wholesale
O1,INV-OMN-500024,2026,2,410000,Invoice,2026-06-24,2026-06-27,OMR,1.0,-23790.906,S5,OM8763689044,OM8763689044,Oasis Wholesale
O1,INV-OMN-500024,2026,3,230000,Invoice,2026-06-24,2026-06-27,OMR,1.0,-1189.545,S5,OM8763689044,OM8763689044,Oasis Wholesale
O1,INV-OMN-500027,2026,1,140000,Invoice,2026-07-10,2026-07-10,OMR,1.0,33233.971,S5,OM1728366707,OM1728366707,Cedar Supplies Co.
O1,INV-OMN-500027,2026,2,410000,Invoice,2026-07-10,2026-07-10,OMR,1.0,-31651.401,S5,OM1728366707,OM1728366707,Cedar Supplies Co.
O1,INV-OMN-500027,2026,3,230000,Invoice,2026-07-10,2026-07-10,OMR,1.0,-1582.570,S5,OM1728366707,OM1728366707,Cedar Supplies Co.
O2,INV-OMN-500031,2026,1,140000,Invoice,2026-07-13,2026-07-14,OMR,1.0,30917.131,S5,OM1427122296,OM1427122296,Falcon Trading Est.
O2,INV-OMN-500031,2026,2,410000,Invoice,2026-07-13,2026-07-14,OMR,1.0,-29444.887,S5,OM1427122296,OM1427122296,Falcon Trading Est.
O2,INV-OMN-500031,2026,3,230000,Invoice,2026-07-13,2026-07-14,OMR,1.0,-1472.244,S5,OM1427122296,OM1427122296,Falcon Trading Est.
O2,INV-OMN-500034,2026,1,140000,Invoice,2026-06-17,2026-06-18,OMR,1.0,35092.372,S5,OM4893828221,OM4893828221,Al Noor Distribution
O2,INV-OMN-500034,2026,2,410000,Invoice,2026-06-17,2026-06-18,OMR,1.0,-33421.307,S5,OM4893828221,OM4893828221,Al Noor Distribution
O2,INV-OMN-500034,2026,3,230000,Invoice,2026-06-17,2026-06-18,OMR,1.0,-1671.065,S5,OM4893828221,OM4893828221,Al Noor Distribution
O1,INV-OMN-500037,2026,1,140000,Invoice,2026-07-14,2026-07-17,OMR,1.0,26638.430,S5,OM4341350830,OM4341350830,Delta Foods
O1,INV-OMN-500037,2026,2,410000,Invoice,2026-07-14,2026-07-17,OMR,1.0,-25369.933,S5,OM4341350830,OM4341350830,Delta Foods
O1,INV-OMN-500037,2026,3,230000,Invoice,2026-07-14,2026-07-17,OMR,1.0,-1268.497,S5,OM4341350830,OM4341350830,Delta Foods
O1,INV-OMN-500039,2026,1,140000,Invoice,2026-07-15,2026-07-16,OMR,1.0,6003.139,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,2,410000,Invoice,2026-07-15,2026-07-16,OMR,1.0,-5717.275,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,3,230000,Invoice,2026-07-15,2026-07-16,OMR,1.0,-285.864,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,1,140000,Invoice,2026-07-15,2026-07-16,OMR,1.0,6586.428,Z0,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,2,410000,Invoice,2026-07-15,2026-07-16,OMR,1.0,-6586.428,Z0,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,1,140000,Invoice,2026-07-15,2026-07-16,OMR,1.0,8235.739,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,2,410000,Invoice,2026-07-15,2026-07-16,OMR,1.0,-7843.561,S5,OM5994230039,OM5994230039,Horizon FMCG
O1,INV-OMN-500039,2026,3,230000,Invoice,2026-07-15,2026-07-16,OMR,1.0,-392.178,S5,OM5994230039,OM5994230039,Horizon FMCG
O2,INV-OMN-500043,2026,1,140000,Invoice,2026-06-23,2026-06-24,OMR,1.0,11282.368,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,2,410000,Invoice,2026-06-23,2026-06-24,OMR,1.0,-10745.112,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,3,230000,Invoice,2026-06-23,2026-06-24,OMR,1.0,-537.256,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,1,140000,Invoice,2026-06-23,2026-06-24,OMR,1.0,3027.658,Z0,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,2,410000,Invoice,2026-06-23,2026-06-24,OMR,1.0,-3027.658,Z0,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,1,140000,Invoice,2026-06-23,2026-06-24,OMR,1.0,4451.799,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,2,410000,Invoice,2026-06-23,2026-06-24,OMR,1.0,-4239.809,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O2,INV-OMN-500043,2026,3,230000,Invoice,2026-06-23,2026-06-24,OMR,1.0,-211.990,S5,OM5751681699,OM5751681699,Gulf Mega Stores
O1,INV-OMN-500047,2026,1,140000,Invoice,2026-06-16,2026-06-18,OMR,1.0,11213.785,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,2,410000,Invoice,2026-06-16,2026-06-18,OMR,1.0,-10679.795,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,3,230000,Invoice,2026-06-16,2026-06-18,OMR,1.0,-533.990,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,1,140000,Invoice,2026-06-16,2026-06-18,OMR,1.0,3267.705,Z0,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,2,410000,Invoice,2026-06-16,2026-06-18,OMR,1.0,-3267.705,Z0,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,1,140000,Invoice,2026-06-16,2026-06-18,OMR,1.0,5094.281,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,2,410000,Invoice,2026-06-16,2026-06-18,OMR,1.0,-4851.696,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500047,2026,3,230000,Invoice,2026-06-16,2026-06-18,OMR,1.0,-242.585,S5,OM5580633243,OM5580633243,Cedar Supplies Co.
O1,INV-OMN-500050,2026,1,140000,Invoice,2026-06-24,2026-06-27,OMR,1.0,18780.221,S5,OM7561549893,OM7561549893,Gulf Mega Stores
O1,INV-OMN-500050,2026,2,410000,Invoice,2026-06-24,2026-06-27,OMR,1.0,-17885.925,S5,OM7561549893,OM7561549893,Gulf Mega Stores
