customer_key,customer_name,customer_vat,vouchers,taxable_h,vat_h,fully_reconciled_n,fully_reconciled_v,not_einvoiced_n,not_einvoiced_v,not_booked_n,not_booked_v,differences_n,differences_v,unreported_v,highest_risk
312205654500003,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,7,13116755.88,211422.00,0,0.00,6,11997442.70,1,1119313.18,0,0.00,13116755.88,Not e-invoiced: 251300000007
310881493700003,EFG Arabia Company,310881493700003,9,8131044.46,159260.36,2,147583.20,6,7093542.68,1,889918.58,0,0.00,7983461.26,Not e-invoiced: 251400000038
Saudi Awal Bank ,Saudi Awal Bank ,,25,9471073.69,0.00,0,0.00,0,0.00,1,2971961.91,0,0.00,2971961.91,Not booked: CM-251100000013
Applovin,Applovin,,11,319182.34,0.00,0,0.00,11,319182.34,0,0.00,0,0.00,319182.34,Not e-invoiced: 261200000053
GOOGLE IRELAND LIMITED,GOOGLE IRELAND LIMITED,,25,130539.97,11.32,4,53.02,20,130475.65,0,0.00,1,11.30,130475.65,Not e-invoiced: 261200000007
ADLOGIC TECHNOLOGY PTE,ADLOGIC TECHNOLOGY PTE,,17,121597.42,0.00,0,0.00,17,121597.42,0,0.00,0,0.00,121597.42,Not e-invoiced: 261200000013
311122545310003,Electronic Gaming Development Company,311122545310003,7,94366.41,0.00,0,0.00,0,0.00,2,94366.41,0,0.00,94366.41,Not booked: 59008
Facebook UK LTD	,Facebook UK LTD	,,12,43366.58,0.00,0,0.00,12,43366.58,0,0.00,0,0.00,43366.58,Not e-invoiced: 261200000007
Unity Technologies SF,Unity Technologies SF,,10,37771.24,0.00,0,0.00,10,37771.24,0,0.00,0,0.00,37771.24,Not e-invoiced: 261200000025
BYTEDANCE PTE. LTD.,BYTEDANCE PTE. LTD.,,14,17239.04,0.00,0,0.00,14,17239.04,0,0.00,0,0.00,17239.04,Not e-invoiced: 261200000055
APPLE INC ,APPLE INC ,,10,15971.62,0.00,0,0.00,10,15971.62,0,0.00,0,0.00,15971.62,Not e-invoiced: 261200000057
INMOBI PTE. LTD.,INMOBI PTE. LTD.,,13,9570.13,0.00,0,0.00,13,9570.13,0,0.00,0,0.00,9570.13,Not e-invoiced: 261200000030
"LMI, INC.","LMI, INC.",,10,8582.09,0.00,0,0.00,10,8582.09,0,0.00,0,0.00,8582.09,Not e-invoiced: 261200000056
IronSource Mobile Ltd,IronSource Mobile Ltd,,8,5849.65,0.00,0,0.00,8,5849.65,0,0.00,0,0.00,5849.65,Not e-invoiced: 261200000018
Air Smart Advertising Solutions FZ-LLC,Air Smart Advertising Solutions FZ-LLC,,2,3750.72,0.00,0,0.00,2,3750.72,0,0.00,0,0.00,3750.72,Not e-invoiced: 261200000006
Google Ireland Limited,Google Ireland Limited,,1,11.30,1.70,0,0.00,0,0.00,1,11.30,0,0.00,11.30,Not booked: 251200000274
300000434710003,AL Rajhi Bank,300000434710003,10,4102.47,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,None
300002471110003,Saudi National Bank ,300002471110003,3,453.53,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,None
(no customer),(no customer),,16,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,"Revenue posted, not billed: 261700000001"
