voucher_number,document_number,document_type,voucher_date,customer_name,customer_vat,gl_taxable,gl_tax,ar_taxable,ar_vat,ar_gross,diff_taxable,diff_tax,tax_code,status
251300000007,251300000007,INV,2026-01-01,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,325189.10,0.00,3902425.30,0.00,0.00,3577236.20,0.00,S,Amount mismatch
251300000007,251300000007,INV,2026-02-01,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,325189.10,0.00,3902425.30,0.00,0.00,3577236.20,0.00,S,Amount mismatch
251300000007,251300000007,INV,2026-03-01,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,325189.10,0.00,3902425.30,0.00,0.00,3577236.20,0.00,S,Amount mismatch
251300000007,251300000007,INV,2026-04-01,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,325189.10,0.00,0.00,0.00,0.00,-325189.10,0.00,S,Amount mismatch
251300000007,251300000007,INV,2026-05-01,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,325189.10,0.00,0.00,0.00,0.00,-325189.10,0.00,S,Amount mismatch
251400000038,251400000038,INV,2026-01-01,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,341519.33,0.00,2356436.25,0.00,0.00,2014916.92,0.00,S,Amount mismatch
251400000038,251400000038,INV,2026-02-01,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,341519.33,0.00,2356436.25,0.00,0.00,2014916.92,0.00,S,Amount mismatch
251400000038,251400000038,INV,2026-03-01,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,341519.33,0.00,2356436.25,0.00,0.00,2014916.92,0.00,S,Amount mismatch
251400000038,251400000038,INV,2026-04-01,EFG Arabia Company,310881493700003,341519.33,0.00,0.00,0.00,0.00,-341519.33,0.00,S,Amount mismatch
251400000038,251400000038,INV,2026-05-01,EFG Arabia Company,310881493700003,341478.35,0.00,0.00,0.00,0.00,-341478.35,0.00,S,Amount mismatch
261100000025,261100000025,INV,2026-04-26,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,290166.80,43525.02,290166.80,43525.02,333691.82,0.00,0.00,S,Exact match
261100000026,261100000026,INV,2026-04-26,EFG Arabia Company,310881493700003,24233.93,3635.09,24233.93,3635.09,27869.02,0.00,0.00,S,Exact match
261200000002,261200000002,INV,2026-01-22,GOOGLE IRELAND LIMITED,,11.30,1.69,11.30,1.69,12.99,0.00,0.00,S,Exact match
