einvoice_no,issue_date,doc_type,transaction_type,invoice_status,buyer_name,buyer_vat,einv_taxable,einv_vat,einv_total,ar_voucher,ar_taxable,ar_vat,ar_gross,how_matched,status
261200000031,2026-02-28,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,19.12,2.87,21.99,261200000031,11.30,1.69,12.99,Matched on document number,Amount mismatch
261200000020,2026-02-28,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,11.30,1.70,13.00,261200000020,11.30,1.69,12.99,Matched on document number,Exact match
261200000021,2026-02-07,INV,EXPORT_INV,CLEARED,GOOGLE IRELAND LIMITED,,11.30,1.70,13.00,261200000021,11.30,1.69,12.99,Matched on document number,Exact match
261200000032,2026-02-28,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,19.12,2.87,21.99,261200000032,19.12,2.87,21.99,Matched on document number,Exact match
261200000059,2026-03-31,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,11.30,1.70,13.00,261200000059,11.30,1.69,12.99,Matched on document number,Exact match
261400000001,2026-01-14,INV,TAX_INVOICE,CLEARED,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,51833.60,7775.04,59608.64,261400000001,51833.60,7775.04,59608.64,Matched on document number,Exact match
261400000007,2026-05-19,INV,TAX_INVOICE,CLEARED,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,95749.60,14362.44,110112.04,261400000007,95749.60,14362.44,110112.04,Matched on document number,Exact match
251100000082,2025-12-31,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,1119313.18,167896.98,1287210.16,,,,,No match,Missing in AR
251100000083,2025-12-31,INV,TAX_INVOICE,CLEARED,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,889918.58,133487.79,1023406.37,,,,,No match,Missing in AR
251200000274,2025-12-31,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,11.30,1.70,13.00,,,,,No match,Missing in AR
251300000005,2025-12-07,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,3870417.08,580562.56,4450979.64,,,,,,Out of period
251300000006,2025-12-07,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,1050531.00,157579.65,1208110.65,,,,,,Out of period
251300000007,2025-12-01,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,3902425.30,585363.80,4487789.10,,,,,,Out of period
251300000008,2025-12-29,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,37035.94,5555.39,42591.33,,,,,,Out of period
251300000009,2025-12-29,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,26500.00,3975.00,30475.00,,,,,,Out of period
251300000010,2025-12-29,INV,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,37035.94,5555.39,42591.33,,,,,,Out of period
251400000040,2025-12-04,INV,TAX_INVOICE,CLEARED,Manga Production -شركة مانجا للانتاج,310082744500003,103870.00,15580.50,119450.50,,,,,,Out of period
251400000041,2025-12-04,INV,TAX_INVOICE,CLEARED,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,310745.60,46611.84,357357.44,,,,,,Out of period
251400000042,2025-12-16,INV,TAX_INVOICE,CLEARED,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,54833.60,8225.04,63058.64,,,,,,Out of period
261200000002,2025-12-26,INV,SIMPLIFIED_TAX_INVOICE,REPORTED,Google Ireland Limited,,11.30,1.70,13.00,,,,,,Out of period
58008,2025-12-29,INV,TAX_INVOICE,FAILED,Electronic Gaming Infrastructure Company,311122545310003,107500.00,0.00,107500.00,,,,,,Out of period
CM-251200000134,2025-12-01,CRN,EXPORT_INV,CLEARED,GOOGLE IRELAND LIMITED,,11.29,1.70,12.99,,,,,,Out of period
CM-251300000006,2025-12-07,CRN,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,3870417.08,580562.56,4450979.64,,,,,,Out of period
CM-251300000007,2025-12-07,CRN,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,1050531.00,157579.65,1208110.65,,,,,,Out of period
CM-251300000008,2025-12-29,CRN,TAX_INVOICE,CLEARED,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,37035.94,5555.39,42591.33,,,,,,Out of period
CM-251400000008,2025-12-16,CRN,TAX_INVOICE,CLEARED,True Gaming,310154535500003,8470.00,1270.50,9740.50,,,,,,Out of period
CM-251400000009,2025-12-16,CRN,EXPORT_INV,CLEARED,The Esports and Gaming Agency MENA FZ LLC,,15263.04,2289.46,17552.50,,,,,,Out of period
59008,2025-12-31,INV,TAX_INVOICE,FAILED,Electronic Gaming Development Company,311122545310003,55553.91,0.00,55553.91,,,,,Status FAILED/NOT_SUBMITTED,Submitted but not accepted
62007,2026-04-01,INV,TAX_INVOICE,FAILED,Electronic Gaming Development Company,311122545310003,38812.50,0.00,38812.50,,,,,Status FAILED/NOT_SUBMITTED,Submitted but not accepted
CM-251100000013,2025-12-31,CRN,TAX_INVOICE,FAILED,Saudi Awal Bank ,,2971961.91,0.00,2971961.91,,,,,Status FAILED/NOT_SUBMITTED,Submitted but not accepted
