voucher_number,document_number,date,customer_name,customer_vat,in_revenue_tax_gl,in_customer_gl,in_einvoice,taxable,vat,three_way_status,what_to_do_next
261200000020,261200000020,2026-02-05,GOOGLE IRELAND LIMITED,,True,True,Yes,11.30,1.69,Fully reconciled,No action needed
261200000021,261200000021,2026-02-07,GOOGLE IRELAND LIMITED,,True,True,Yes,11.30,1.69,Fully reconciled,No action needed
261200000032,261200000032,2026-02-15,GOOGLE IRELAND LIMITED,,True,True,Yes,19.12,2.87,Fully reconciled,No action needed
261200000059,261200000059,2026-03-31,GOOGLE IRELAND LIMITED,,True,True,Yes,11.30,1.69,Fully reconciled,No action needed
261400000001,261400000001,2025-12-31,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,True,True,Yes,51833.60,7775.04,Fully reconciled,No action needed
261400000007,261400000007,2026-05-19,EFG Arabia Company,310881493700003,True,True,Yes,95749.60,14362.44,Fully reconciled,No action needed
ADJ. RECEIVABLES A 4075268000001 4075267 N,Adj. Receivables A 4075268000001 4075267 N,2026-01-31,,,False,True,No,0.00,0.00,Not a supply,"No action, journal or clearing entry"
REVERSES ADJ. RECEIVABLES A 4075268000001 4075267 N 14-04-26 14:18:37,Reverses Adj. Receivables A 4075268000001 4075267 N 14-04-26 14:18:37,2026-03-31,,,False,True,No,0.00,0.00,Not a supply,"No action, journal or clearing entry"
ADJ. RECEIVABLES A 4074263000001 4074262 N,Adj. Receivables A 4074263000001 4074262 N,2026-01-31,,,False,True,No,0.00,0.00,Not a supply,"No action, journal or clearing entry"
REVERSES ADJ. RECEIVABLES A 4074263000001 4074262 N 14-04-26 13:43:03,Reverses Adj. Receivables A 4074263000001 4074262 N 14-04-26 13:43:03,2026-03-31,,,False,True,No,0.00,0.00,Not a supply,"No action, journal or clearing entry"
,251100000082,2025-12-31,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,False,False,Yes,1119313.18,167896.98,Not booked,"No accounting entry found, investigate"
,251100000083,2025-12-31,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,False,False,Yes,889918.58,133487.79,Not booked,"No accounting entry found, investigate"
,251200000274,2025-12-31,Google Ireland Limited,,False,False,Yes,11.30,1.70,Not booked,"No accounting entry found, investigate"
,59008,2025-12-31,Electronic Gaming Development Company,311122545310003,False,False,Not accepted,55553.91,0.00,Not booked,Investigate failed submission and resubmit
,62007,2026-04-01,Electronic Gaming Development Company,311122545310003,False,False,Not accepted,38812.50,0.00,Not booked,Investigate failed submission and resubmit
,CM-251100000013,2025-12-31,Saudi Awal Bank ,,False,False,Not accepted,2971961.91,0.00,Not booked,Investigate failed submission and resubmit
261100000025,261100000025,2026-04-26,MIRAI ARABIAN INTERNATIONAL COMPANY LIMITED,312205654500003,True,True,No,290166.80,43525.02,Not e-invoiced,Report to ZATCA
261100000026,261100000026,2026-04-26,EFG Arabia Company,310881493700003,True,True,No,24233.93,3635.09,Not e-invoiced,Report to ZATCA
261200000002,261200000002,2026-01-22,GOOGLE IRELAND LIMITED,,True,True,No,11.30,1.69,Not e-invoiced,Report to ZATCA
261200000003,261200000003,2026-01-05,APPLE INC ,1234,True,True,No,2983.03,0.00,Not e-invoiced,Report to ZATCA
261200000004,261200000004,2026-01-11,INMOBI PTE. LTD.,200811408G,True,True,No,6250.75,0.00,Not e-invoiced,Report to ZATCA
